"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Lasani Grill","False","True","5","Great kabobs. Very friendly owner. ","2022-05-19 22:47:56.061150+00:00"
"The Mean Fiddler","False","True","5","Drinks are good. Expensive. ","2022-05-19 22:51:01.908581+00:00"
"GRIND NYC","False","True","4","Decent coffee. Tight fit and too loud to work at. ","2022-05-19 22:50:35.498086+00:00"
"Chiya Chai","False","True","1","Super watered down, not good. Staff indifferent. ","2022-06-05 19:58:25.358796+00:00"
"Liberty Bagels","False","True","5","Fast and lots of choices. Quality is good. ","2022-05-19 22:49:15.972476+00:00"
"Briciola","False","True","5","One of the best Italian restaurants in the city. ","2022-05-19 22:49:30.688323+00:00"
"Nizza","False","True","4","Ambiance was okay. Food was 3/5 the penne alla vodka was weirdly salty. Staff was very nice and service was good. Wine was great. ","2022-07-21 12:55:52.657768+00:00"
"Fresh From Hell","False","True","5","Best açaí bowls. Well packaged in Uber Eats. Average pricing for NY. 

Healthy and delicious. Not much more to say. 

Only one table to eat at, so more of a takeout spot. Nice coffee shop next door. ","2022-05-25 14:35:21.391965+00:00"
"Think Coffee","False","True","4","Decent coffee. Right next to the Highline. No tables to work. ","2022-05-19 22:50:07.333786+00:00"
"Bengal Tiger Indian Food","False","True","5","Have ordered this thru Uber eats over 10x. Great Sunday afternoon food if ya know what I mean. Lamb curry is great. Food is fresh. Kheer is amazing.

Always well packaged and presented. ","2022-05-23 14:28:34.014006+00:00"
"Romeo & Juliet Colombian Coffee","False","True","4","Good coffee. Nice staff. Good place to work. ","2022-05-19 22:51:27.422576+00:00"
"Velvet Taco","False","True","5","Food was well made. Interesting choices like chicken tikka tacos. Fast food dine in vibe. Chipotle-esque. Would definitely revisit. ","2022-06-06 14:46:42.103109+00:00"
"Little Pie Company","False","True","4","Overhyped and pricey. Good for gifts. We’ll presented. ","2022-05-19 22:48:48.906605+00:00"
"Ippudo","False","True","4","Decent choice for ramen. ","2022-05-19 22:48:15.953305+00:00"
"Málà Project","True","False","","",""
"Havana Central","True","False","","",""
"Dominique Ansel Workshop","True","False","","",""
"Alfie's","True","False","","",""
"Don Angie","True","False","","",""
"Corkbuzz Restaurant & Wine Bar","True","False","","",""
"Thai Villa","True","False","","",""
